
Item,5722.16,08-18-2016
Insurance,6028.36,03-17-2014
Bill,-4290.28,06-20-2011
Automotive,-6878.08,07-14-2018
Item,4493.46,01-01-2017
Insurance,8294.86,12-12-2015
Medical,8618.18,02-21-2017
Medical,6299.6,04-03-2017
Insurance,-3980.42,03-26-2010
Supplies,759.71,09-29-2011
Bill,3032.08,09-02-2013
Automotive,-8760.81,11-18-2013
Office,-2191.03,03-24-2016
Supplies,-8597.91,11-10-2017
Bill,-4024.03,12-20-2016
Gift,627.72,02-03-2011
Gift,2469.83,01-26-2018
Games,-8958.88,01-17-2017
Office,2037.18,10-05-2018
Bill,-4218.45,04-29-2013
Supplies,5740.44,08-04-2012
Bill,7951.63,01-04-2016
Games,8307.97,08-26-2012
Games,1367.75,06-18-2014
Fuel,2856.36,09-25-2016
Games,81.56,01-08-2016
Automotive,-2701.31,11-14-2017
Bill,2588.19,04-19-2010
Gift,7839.93,06-11-2018
Gift,-4581.8,06-01-2018
Services,6870.27,01-19-2016
Automotive,-1022.75,04-02-2016
Fuel,8129.8,02-23-2014
Groceries,-6585.75,08-05-2017
Services,-5621.03,03-25-2010
Automotive,4139.9,05-23-2014
Games,-9574.92,04-24-2013
Insurance,-6627.35,10-21-2016
Games,5996.2,12-30-2016
Gift,-3442.13,06-18-2010
Fuel,2700.75,02-16-2010
Games,-697.47,12-21-2016
Gift,1560.12,03-01-2015
Automotive,3017.02,09-11-2013
Groceries,-7941.92,04-18-2013
Gift,4996.88,02-10-2017
Item,-9664.15,11-05-2010
Automotive,-6739.73,02-11-2016
Supplies,-1594.28,02-07-2012
Gift,7945.86,02-04-2016
Gift,-6294.7,04-02-2012
Item,2145.8,07-19-2018
Insurance,9924.32,02-24-2011
Games,-3812.12,01-19-2010
Fuel,7077.31,04-17-2013
Services,-6108.65,08-17-2012
Automotive,-2150.7,07-23-2010
Groceries,-1686.06,08-15-2012
Supplies,5203.23,01-15-2016
Automotive,1911.08,01-28-2015
Fuel,5313.82,12-16-2018
Supplies,3578.95,01-02-2016
Groceries,2602.73,05-18-2016
Medical,-2697.96,03-10-2012
Insurance,7825.62,06-18-2018
Groceries,6437.08,10-17-2014
Gift,3949.03,01-15-2016
Medical,-786.33,05-21-2016
Automotive,-8591.39,05-30-2017
Medical,7806.34,04-10-2011
Groceries,-1967.69,07-22-2014
Gift,1133.69,02-22-2011
Item,8522.36,11-29-2017
Games,-6018.88,09-20-2010
Gift,3314.66,08-08-2014
Office,8550.37,04-21-2011
Services,-8420.95,07-07-2016
Games,-6650.62,02-23-2015
Insurance,3109.37,11-02-2012
Fuel,5501.28,11-15-2017
Supplies,9210.28,11-24-2018
Automotive,934.78,09-02-2011
Services,-5938.08,06-26-2011
Item,-9805.16,06-28-2013
Item,1392.39,04-18-2017
Supplies,1272.13,10-15-2015
Services,-7120.39,11-03-2014
Bill,3191.5,02-05-2013
Automotive,6121.55,08-03-2014
Medical,-8762.24,03-14-2012
Supplies,3151.19,06-07-2013
Supplies,-4442.6,06-27-2013
Services,-7463.4,11-10-2011
Supplies,6194.94,04-16-2014
Fuel,-3382.39,04-19-2016
Gift,8953.84,05-14-2016
Services,3219.81,07-23-2012
Office,5177.58,01-08-2016
Services,-8600.9,07-08-2016
Fuel,4801.97,11-07-2014
Services,1862.57,04-12-2014
Office,-6176.34,01-08-2012
Fuel,-6546.08,04-18-2016
Insurance,5462.8,10-21-2011
Fuel,1565.33,11-08-2017
Games,-2616.61,03-25-2014
Services,6938.14,11-09-2011
Gift,-3201.85,03-01-2014
Groceries,-6252.12,05-07-2010
Supplies,365.01,08-12-2018
Bill,-5844.42,12-25-2017
Games,8529.46,05-24-2016
